Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2025-03-17,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",TX,774XX,12510205,Closed with non-monetary relief
2022-10-13,Checking or savings account,Savings account,Managing an account,Problem using a debit or ATM card,JPMORGAN CHASE & CO.,CA,XXXXX,6084608,Closed with explanation
2024-07-22,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,,UNITED SERVICES AUTOMOBILE ASSOCIATION,KY,40047,9584295,Closed with explanation
2025-06-20,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,312XX,14195920,Closed with non-monetary relief
2025-03-05,Checking or savings account,Checking account,Opening an account,Unable to open an account,PNC Bank N.A.,OH,43211,12307101,Closed with explanation
2022-01-17,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",AL,35215,5118492,Closed with explanation
2024-05-28,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,Experian Information Solutions Inc.,NC,28208,9108476,Closed with explanation
2024-11-01,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",CA,92880,10653353,Closed with explanation
2019-04-30,Mortgage,FHA mortgage,Trouble during payment process,,"CARRINGTON MORTGAGE SERVICES, LLC",MD,208XX,3227486,Closed with explanation
2021-02-02,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,AMERICAN EXPRESS COMPANY,CA,916XX,4111452,Closed with explanation
2025-06-17,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,32177,14122302,Closed with explanation
2025-10-02,Mortgage,Conventional home mortgage,Trouble during payment process,Payment process,Mr. Cooper Group Inc.,MI,48093,16329523,Closed with explanation
2024-10-23,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",GA,30141,10554390,Closed with non-monetary relief
2025-06-23,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,CAPITAL ONE FINANCIAL CORPORATION,GA,31404,14241998,Closed with non-monetary relief
2025-07-23,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",OH,XXXXX,14830961,Closed with non-monetary relief
2023-02-25,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,LANIER COLLECTIONS AGENCY AND SERVICES INC,GA,30815,6617429,Closed with explanation
2019-11-27,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43062,3452751,Closed with explanation
2022-02-08,Credit card or prepaid card,Store credit card,Fees or interest,Problem with fees,SYNCHRONY FINANCIAL,MA,XXXXX,5198448,Closed with monetary relief
2025-08-12,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60629,15236151,Closed with explanation
2025-12-01,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",VA,237XX,17620128,Closed with non-monetary relief
2019-10-22,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,FL,34759,3414289,Closed with non-monetary relief
2025-03-10,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"Nelnet, Inc.",OH,44224,12395689,Closed with explanation
2021-07-26,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,"Seattle Service Bureau, Inc",WA,98902,4575986,Closed with explanation
2025-01-15,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33032,11537834,Closed with non-monetary relief
2025-05-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",FL,33181,13388459,Closed with explanation
2020-06-10,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,FL,33619,3692113,Closed with explanation
2025-11-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,35020,17487652,Closed with non-monetary relief
2024-12-19,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,NY,115XX,11214473,Closed with explanation
2021-06-16,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,CL Holdings LLC,TN,37421,4466788,Closed with explanation
2023-11-07,Vehicle loan or lease,Lease,Problems at the end of the loan or lease,Problem when attempting to purchase vehicle at the end of the lease,HYUNDAI CAPITAL AMERICA,FL,33405,7816409,Closed with explanation
2024-01-23,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,"EQUIFAX, INC.",NY,11218,8200546,Closed with non-monetary relief
